itl	xn----ctbjmbama9augm8o.xn--p1ai	1	154	154
koi	t7-inform.ru	143	1334	2
koi	filka.info	1	301	301
koi	komiperm.ru	28	68767	673.5
koi	mamatov.ru	2	765	382.5
koi	tnmerkusheva.wordpress.com	3	732	252
koi	permikomi.com	3	242	49
koi	phoenixhollo.com	1	37	37
koi	ct4.ucoz.ru	1	54	54
koi	song5.ru	1	107	107
koi	uvesti.ru	2	268	134.0
koi	permk.wordpress.com	4	6698	1482.0
koi	komi-permarchiv.ru	1	7	7
koi	poliglos.info	1	67	67
koi	komipermian.livejournal.com	2	1124	562.0
koi	perm.monavista.ru	2	264	132.0
koi	knowledgemedia.ru	1	5	5
koi	raionka.perm.ru	1	11	11
koi	samlib.ru	1	1159	1159
koi	wikibit.me	2	1989	994.5
koi	suri.ee	3	802	19
koi	asnikulin.wordpress.com	3	84	29
koi	inostran.org	4	338	62.0
koi	igorbikariz.wordpress.com	1	192	192
koi	m-iz.ru	1	112	112
koi	kpolibrary.ucoz.ru	5	1063	205
koi	minkpo.permkrai.ru	19	1964	90
koi	kudymkar-online.ru	16	531	23.5
koi	jugor.umi.ru	1	276	276
koi	xn--80aaaalnn7bzals.xn--p1ai	12	2290	156.5
koi	webkonspect.com	4	342	75.5
koi	econompolit.ru	1	156	156
koi	chitalnya.ru	2	124	62.0
koi	kududgu.ru	1	2909	2909
koi	studopedia.info	1	248	248
koi	jooov.net	2	222	111.0
koi	youtube.com	8	591	70.0
koi	komiprav.ru	1	88	88
koi	samlib.siwatcher.ru	1	1159	1159
koi	kochevo.flybb.ru	1	587	587
koi	agarh.permkrai.ru	1	52	52
koi	iplayer.fm	2	297	148.5
koi	pelym.ucoz.ru	1	548	548
koi	prpc.ru	1	300	300
koi	culture.ru	1	292	292
koi	dict.komikyv.ru	4	994	235.0
koi	kochovo-shkola.ucoz.ru	2	437	218.5
koi	neizvestniy-geniy.ru	1	170	170
koi	komi.t7-inform.ru	1334	150063	100.0
cjs	danefae.livejournal.com	1	97	97
cjs	olonkho.info	1	149	149
cjs	poliglos.info	4	591	62.0
cjs	utubes.org	1	380	380
cjs	inostran.org	3	96	37
cjs	takya.ru	1	9288	9288
cjs	old.iea.ras.ru	1	8045	8045
cjs	proza.ru	1	11400	11400
cjs	tili.tadarlar.ru	2	10358	5179.0
cjs	Tadarlar.ru	2	1167	583.5
cjs	vsemir.info	1	6	6
cjs	extbase.com	1	862	862
cjs	paktube.pk	1	386	386
cjs	sperepuga.com	1	92	92
cjs	ruthenia.ru	1	10051	10051
kpv	ip-whois.net	1	59	59
kpv	baby.ru	2	254	127.0
kpv	bookworld.com.ua	1	1916	1916
kpv	gam-oosh.ucoz.ru	1	159	159
kpv	persones.ru	1	49	49
kpv	turism-otdih.ru	1	463	463
kpv	zyrians.foto11.com	9	24237	2459
kpv	keel.ut.ee	1	5181	5181
kpv	OneSong.ru	1	132	132
kpv	xn--b1aeclack5b4j.xn--c1avg.xn--p1ai	1	527	527
kpv	ednapalkov.livejournal.com	2	1848	924.0
kpv	7x7-journal.ru	3	851	338
kpv	bmfr.ru	5	92	18
kpv	skazkamikun.umi.ru	1	7	7
kpv	prigotovit.org	1	101	101
kpv	fatezh-adm.ru	1	74	74
kpv	morty.at.ua	1	39	39
kpv	MagazinPanelei.ru	26	7761	113.5
kpv	komikyvbur.blogspot.ru	2	624	312.0
kpv	memesmix.net	1	1277	1277
kpv	earthpapers.net	5	1976	365
kpv	auto-mus.ru	2	233	116.5
kpv	bisnes-saut.at.ua	1	31	31
kpv	memorial.krsk.ru	1	91	91
kpv	forums.drom.ru	1	8776	8776
kpv	database.library.by	1	7	7
kpv	lib.co.ua	1	60	60
kpv	read.newlibrary.ru	1	11	11
kpv	tusjuk.blogspot.ru	13	6607	270
kpv	playcast.ru	1	77	77
kpv	chat.sibnet.ru	1	7301	7301
kpv	izhma77komi.ucoz.ru	6	2413	245.5
kpv	komi.com	2	154	77.0
kpv	school-pyioldino.ru	3	2833	890
kpv	atkritka.com	1	42	42
kpv	biblioteka.by	2	23	11.5
kpv	koigorodok.ru	34060	3199300	89.0
kpv	doc4web.ru	1	444	444
kpv	sysbibl.jimdo.com	1	783	783
kpv	gallerix.ru	1	90	90
kpv	xn----7sban6bpbjf.xn--p1ai	8	5401	256.0
kpv	doska.ru	1	17	17
kpv	filka.info	5	4135	844
kpv	ru-sinonim.com	2	478	239.0
kpv	FlashPlayer.ru	1	196	196
kpv	kapanadze.zipkatalog.ru	1	6114	6114
kpv	ndbmarshak.ru	2	325	162.5
kpv	noviyserial.ru	1	71	71
kpv	losos.nu	3	92	31
kpv	board.metin2.ru	1	294	294
kpv	2berega.spb.ru	1	95	95
kpv	2006-2009.littleone.ru	1	11	11
kpv	pechora-portal.ru	1	946	946
kpv	odezhda2.ru	1	72	72
kpv	province.ru	2	219	109.5
kpv	records.su	2	131	65.5
kpv	izhmaschool.ru	1	195	195
kpv	bom-bom.ru	1	101	101
kpv	zavideo.net	1	51	51
kpv	komiperm.ru	1	1720	1720
kpv	kazzam.ru	1	745	745
kpv	people.su	1	136	136
kpv	us-cars.ru	1	457	457
kpv	komimu.com	1626	443540	213.0
kpv	mp3-pesnja.com	3	333	112
kpv	online-documents.ru	1	66	66
kpv	gdzgdzgdz.ru	1	2	2
kpv	song-man.ru	1	102	102
kpv	derevyansk.selakomi.ru	1	41	41
kpv	shpora.org	1	76	76
kpv	multeashki.ru	1	100	100
kpv	mebel2.su	1	64	64
kpv	argo-school.ru	1	179	179
kpv	soyuz-pisateley.komi-nao.ru	2	880	440.0
kpv	syktyvdin.ru	2	873	436.5
kpv	forum.telenet.ru	1	308	308
kpv	rassykhaev.blogspot.ru	2	253	126.5
kpv	adm.rkomi.ru	3	207	67
kpv	bookre.org	2	693	346.5
kpv	tavernach.forum2x2.ru	1	145	145
kpv	ustvymcbs.ru	2	403	201.5
kpv	oriflaeme.by	1	80	80
kpv	xn--b1algemdcsb.xn--p1ai	3	29	10
kpv	progorod11.ru	1	343	343
kpv	myzlo.info	4	1436	330.0
kpv	allbooks.com.ua	1	1892	1892
kpv	3552603.vkrugudruzei.ru	1	38	38
kpv	xwz.ru	1	501	501
kpv	profrazy.ru	1	30	30
kpv	signalwow.narod.ru	1	79772	79772
kpv	tatianakirpichenko.blogspot.ru	1	552	552
kpv	newchemistry.ru	1	35	35
kpv	gsrkkomi.web.kpr.itgroup.lc:8092	24	11206	475.0
kpv	livelib.ru	1	411	411
kpv	song5.ru	21	857	44
kpv	yaplakal.com	1	31	31
kpv	skorodumsa.blogspot.ru	1	68	68
kpv	cheboksary.trud.com	3	483	151
kpv	pogoda.zborg.ru	1	64	64
kpv	sksouth.ru	1	457	457
kpv	skachat-audioknigi.ru	1	108	108
kpv	pgd16.ru	1	462	462
kpv	lrforum.ru	1	72	72
kpv	st-16.ru	1	460	460
kpv	uz-2.ru	2	389	194.5
kpv	kzdocs.docdat.com	2	934	467.0
kpv	anidream.net	1	220	220
kpv	leenex.net	1	1000	1000
kpv	obuv2.ru	1	56	56
kpv	sports.ru	1	409	409
kpv	momotik.ru	1	456	456
kpv	online-song.net	2	21	10.5
kpv	loveudm.ru	1	47	47
kpv	hitpoisk.ru	1	895	895
kpv	my-dictionary.ru	1	116	116
kpv	risovach.ru	6	44	3.0
kpv	shop.komiteatr.ru	2	242	121.0
kpv	fedy-diary.ru	1	1848	1848
